Day,ExpRep,PCN,log(transposon copy),log(plasmid copy),transposon copy,plasmid copy,T/P,Kan
19,1,Chromosome,0.5233059948861667,0.0,3.367962807684634,0.0,,Kan
19,1,pBR322,1.5455988798607923,1.3696489431759025,35.26616770531447,23.463762815842838,1.5019591830211845,Kan
19,1,CloDF,1.2279130250700196,1.0574414884965335,16.909227328354323,11.422802398400606,1.4808498040977893,Kan
19,2,Chromosome,0.4791304094586959,0.0,3.0198225467328785,0.0,,Kan
19,2,pBR322,1.5156463375726004,1.355218052174348,32.79546422794825,22.698577083944844,1.4521774274709462,Kan
19,2,CloDF,1.190968485133708,1.4391760993160156,15.529551490225062,27.537356529781885,0.5650772994392036,Kan
19,3,Chromosome,0.5011778710703657,0.0,3.176686451791289,0.0,,Kan
19,3,pBR322,1.5593774055293854,1.424587966897879,36.328362673566815,26.63163220749823,1.3669848416030923,Kan
19,3,CloDF,1.2009193100601019,1.0538778657483887,15.909438676408405,11.34483471968637,1.4033957261059344,Kan
19,4,Chromosome,0.49171178245873404,0.0,3.110329095391791,0.0,,Kan
19,4,pBR322,1.5497034805284764,1.4144404476629802,35.47203201611141,25.99704456569064,1.3667833519195207,Kan
19,4,CloDF,1.2056994688010083,1.0940835727491034,16.072282026251592,12.430509725562226,1.2930674538567908,Kan
19,5,Chromosome,0.5111961633391532,0.0,3.2654418528981384,0.0,,Kan
19,5,pBR322,1.4839741246721776,1.3558001458838262,30.517270056458603,22.7518729114384,1.3472224382152695,Kan
19,5,CloDF,1.2176334476952322,1.3548160687984767,16.510162046337527,22.637713104630947,0.7292470649230407,Kan
20,1,Chromosome,0.37496791048408246,0.0,2.8702085745478345,0.0,,Kan
20,1,pBR322,1.2717420216273865,1.1121349533965155,18.717742657022438,12.970794551250343,1.4442977984081227,Kan
20,1,CloDF,0.9884500678777123,0.9758450457710225,9.755309903755771,9.521660266366558,1.0309659462894487,Kan
20,2,Chromosome,0.2551599017512116,0.0,1.8024008160193021,0.0,,Kan
20,2,pBR322,1.3037617640492936,1.1496920668398192,20.26533679027813,14.277048121127502,1.4293023767580377,Kan
20,2,CloDF,1.0015349591640095,1.3831372154795176,10.061303196527481,24.234520029857872,0.4154774559829819,Kan
20,3,Chromosome,0.2851281661303065,0.0,1.9296948374564102,0.0,,Kan
20,3,pBR322,1.288022269157463,1.156034423428653,19.503893146898044,14.387691594462416,1.3552344389096092,Kan
20,3,CloDF,0.9245257210596515,0.9309643219099398,8.414725740762547,8.542491499358484,0.9854065814431524,Kan
20,4,Chromosome,0.03133149483867706,0.0,1.1510738891417052,0.0,,Kan
20,4,pBR322,1.2981081845095965,1.1841246799878298,19.97270149877857,15.422069601742955,1.3009920328268387,Kan
